MOL_1,MOL_2,logV
B(Br)(Br)Br,CCO,-0.14011168601062204
BrBr,CCO,-0.011187296271259506
BrC(Br)(Br)Br,c1ccccc1,-0.2197547161346474
BrC(Br)(Br)Br,c1ccccc1,-0.0807649620767493
BrC(Br)(Br)Br,c1ccccc1,0.050070264367438416
BrC(Br)(Br)Br,c1ccccc1,0.16542240081456988
BrC(Br)(Br)Br,c1ccccc1,0.2646997921671458
BrC(Br)(Br)Br,c1ccccc1,0.34931638877010673
BrC(Br)(Br)Br,c1ccccc1,0.42087949887549886
BrC(Br)(Br)Br,c1ccccc1,0.4808402185427771
BrC(Br)(Br)Br,c1ccccc1,0.5303277897780863
BrC(Br)(Br)Br,c1ccccc1,0.5700990789919579
BrC(Br)(Br)Br,c1ccccc1,0.6005917684293761
BrC(Br)Br,Brc1ccccc1,-0.017472669683984626
BrC(Br)Br,Brc1ccccc1,0.009236236170733655
BrC(Br)Br,Brc1ccccc1,0.03617592519679736
BrC(Br)Br,Brc1ccccc1,0.06357471820303316
BrC(Br)Br,Brc1ccccc1,0.08989728077930786
BrC(Br)Br,Brc1ccccc1,0.11518512510837986
BrC(Br)Br,Brc1ccccc1,0.13871734745873504
BrC(Br)Br,Brc1ccccc1,0.1608359163870723
BrC(Br)Br,Brc1ccccc1,0.18269936768121603
BrC(Br)Br,Brc1ccccc1,0.202861861268617
BrC(Br)Br,Brc1ccccc1,0.2208709069494285
BrC(Br)Br,C1CCCCC1,-0.1980683223290842
BrC(Br)Br,C1CCCCC1,-0.16497482024830437
BrC(Br)Br,C1CCCCC1,-0.1323212870765794
BrC(Br)Br,C1CCCCC1,-0.10045240454309634
BrC(Br)Br,C1CCCCC1,-0.06581409814832834
BrC(Br)Br,C1CCCCC1,-0.028345138068044538
BrC(Br)Br,C1CCCCC1,0.01032561456627892
BrC(Br)Br,C1CCCCC1,0.04983095577500866
BrC(Br)Br,C1CCCCC1,0.08787825803877437
BrC(Br)Br,C1CCCCC1,0.1271800156014186
BrC(Br)Br,C1CCCCC1,0.16920403652361962
BrC(Br)Br,CC(C)=O,-0.5157001606532142
BrC(Br)Br,CC(C)=O,-0.38674430101100987
BrC(Br)Br,CC(C)=O,-0.27794099805891914
BrC(Br)Br,CC(C)=O,-0.18585494951811216
BrC(Br)Br,CC(C)=O,-0.09597462435329066
BrC(Br)Br,CC(C)=O,-0.01686540356852147
BrC(Br)Br,CC(C)=O,0.0551976089029731
BrC(Br)Br,CC(C)=O,0.11752415884864167
BrC(Br)Br,CC(C)=O,0.17712640917135425
BrC(Br)Br,CC(C)=O,0.2297881054835459
BrC(Br)Br,CC(C)=O,0.27737997466725467
BrC(Br)Br,CC(C)CCO,0.4830588318012728
BrC(Br)Br,CC(C)CCO,0.46791179404226435
BrC(Br)Br,CC(C)CCO,0.4250185750011099
BrC(Br)Br,CC(C)CCO,0.38100261537434
BrC(Br)Br,CC(C)CCO,0.33957310578594996
BrC(Br)Br,CC(C)CCO,0.3062187396069463
BrC(Br)Br,CC(C)CCO,0.28077073398325897
BrC(Br)Br,CC(C)CCO,0.2544689470095914
BrC(Br)Br,CC(C)CCO,0.24114796245593148
BrC(Br)Br,CC(C)CCO,0.23927087752107565
BrC(Br)Br,CC(C)CCO,0.2535610020278684
BrC(Br)Br,CCC(C)=O,-0.3948497713521777
BrC(Br)Br,CCC(C)=O,-0.32171653856560734
BrC(Br)Br,CCC(C)=O,-0.24429996082648356
BrC(Br)Br,CCC(C)=O,-0.1623635954595079
BrC(Br)Br,CCC(C)=O,-0.08847176162770023
BrC(Br)Br,CCC(C)=O,-0.02050419073576681
BrC(Br)Br,CCC(C)=O,0.04039183216970786
BrC(Br)Br,CCC(C)=O,0.09393994061005045
BrC(Br)Br,CCC(C)=O,0.14183560877354764
BrC(Br)Br,CCC(C)=O,0.1840902272476263
BrC(Br)Br,CCC(C)=O,0.2208709069494285
BrC(Br)Br,CCCC#N,-0.2992616790955979
BrC(Br)Br,CCCC#N,-0.20065672300116583
BrC(Br)Br,CCCC#N,-0.1092064150044937
BrC(Br)Br,CCCC#N,-0.04046580548775755
BrC(Br)Br,CCCC#N,0.014043445663536271
BrC(Br)Br,CCCC#N,0.06850555803469863
BrC(Br)Br,CCCC#N,0.1189166414102601
BrC(Br)Br,CCCC#N,0.16423740422691874
BrC(Br)Br,CCCC#N,0.2025238616074265
BrC(Br)Br,CCCC#N,0.23653153034058763
BrC(Br)Br,CCCC#N,0.2668131113675246
BrC(Br)Br,CCCCCC,-0.5162701009999762
BrC(Br)Br,CCCCCC,-0.45406413887269187
BrC(Br)Br,CCCCCC,-0.398827276639065
BrC(Br)Br,CCCCCC,-0.30761176673984125
BrC(Br)Br,CCCCCC,-0.24184347110355447
BrC(Br)Br,CCCCCC,-0.17404045711919208
